target_split,image_id,base_id,source_split,source_image,target_image,target_label,object_count
val,20161101-SPI-AOI-6,20161101-SPI-AOI-6,train_data,data\raw\train_data\JPEGImages\20161101-SPI-AOI-6.jpeg,data\yolo\images\val\20161101-SPI-AOI-6.jpeg,data\yolo\labels\val\20161101-SPI-AOI-6.txt,8
val,20161101-SPI-AOI-7,20161101-SPI-AOI-7,train_data,data\raw\train_data\JPEGImages\20161101-SPI-AOI-7.jpeg,data\yolo\images\val\20161101-SPI-AOI-7.jpeg,data\yolo\labels\val\20161101-SPI-AOI-7.txt,2
val,20161101-SPI-AOI-8,20161101-SPI-AOI-8,train_data,data\raw\train_data\JPEGImages\20161101-SPI-AOI-8.jpeg,data\yolo\images\val\20161101-SPI-AOI-8.jpeg,data\yolo\labels\val\20161101-SPI-AOI-8.txt,2
val,20161102-SPI-AOI-13,20161102-SPI-AOI-13,train_data,data\raw\train_data\JPEGImages\20161102-SPI-AOI-13.jpeg,data\yolo\images\val\20161102-SPI-AOI-13.jpeg,data\yolo\labels\val\20161102-SPI-AOI-13.txt,2
val,20161102-SPI-AOI-16,20161102-SPI-AOI-16,train_data,data\raw\train_data\JPEGImages\20161102-SPI-AOI-16.jpeg,data\yolo\images\val\20161102-SPI-AOI-16.jpeg,data\yolo\labels\val\20161102-SPI-AOI-16.txt,1
val,20161102-SPI-AOI-31,20161102-SPI-AOI-31,train_data,data\raw\train_data\JPEGImages\20161102-SPI-AOI-31.jpeg,data\yolo\images\val\20161102-SPI-AOI-31.jpeg,data\yolo\labels\val\20161102-SPI-AOI-31.txt,2
val,20161102-SPI-AOI-34,20161102-SPI-AOI-34,train_data,data\raw\train_data\JPEGImages\20161102-SPI-AOI-34.jpeg,data\yolo\images\val\20161102-SPI-AOI-34.jpeg,data\yolo\labels\val\20161102-SPI-AOI-34.txt,2
val,20161102-SPI-AOI-4,20161102-SPI-AOI-4,train_data,data\raw\train_data\JPEGImages\20161102-SPI-AOI-4.jpeg,data\yolo\images\val\20161102-SPI-AOI-4.jpeg,data\yolo\labels\val\20161102-SPI-AOI-4.txt,2
val,20161102-SPI-AOI-5,20161102-SPI-AOI-5,train_data,data\raw\train_data\JPEGImages\20161102-SPI-AOI-5.jpeg,data\yolo\images\val\20161102-SPI-AOI-5.jpeg,data\yolo\labels\val\20161102-SPI-AOI-5.txt,6
val,20161123-SPI-AOI-8,20161123-SPI-AOI-8,train_data,data\raw\train_data\JPEGImages\20161123-SPI-AOI-8.jpeg,data\yolo\images\val\20161123-SPI-AOI-8.jpeg,data\yolo\labels\val\20161123-SPI-AOI-8.txt,4
val,20161124-SPI-AOI-7,20161124-SPI-AOI-7,train_data,data\raw\train_data\JPEGImages\20161124-SPI-AOI-7.jpeg,data\yolo\images\val\20161124-SPI-AOI-7.jpeg,data\yolo\labels\val\20161124-SPI-AOI-7.txt,4
val,20161219-SPI-AOI-10,20161219-SPI-AOI-10,train_data,data\raw\train_data\JPEGImages\20161219-SPI-AOI-10.jpeg,data\yolo\images\val\20161219-SPI-AOI-10.jpeg,data\yolo\labels\val\20161219-SPI-AOI-10.txt,3
val,20161223-SPI-AOI-8,20161223-SPI-AOI-8,train_data,data\raw\train_data\JPEGImages\20161223-SPI-AOI-8.jpeg,data\yolo\images\val\20161223-SPI-AOI-8.jpeg,data\yolo\labels\val\20161223-SPI-AOI-8.txt,19
val,20161226-SPI-AOI-15,20161226-SPI-AOI-15,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-15.jpeg,data\yolo\images\val\20161226-SPI-AOI-15.jpeg,data\yolo\labels\val\20161226-SPI-AOI-15.txt,2
val,20161226-SPI-AOI-18,20161226-SPI-AOI-18,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-18.jpeg,data\yolo\images\val\20161226-SPI-AOI-18.jpeg,data\yolo\labels\val\20161226-SPI-AOI-18.txt,3
val,20161226-SPI-AOI-20,20161226-SPI-AOI-20,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-20.jpeg,data\yolo\images\val\20161226-SPI-AOI-20.jpeg,data\yolo\labels\val\20161226-SPI-AOI-20.txt,1
val,20161226-SPI-AOI-28,20161226-SPI-AOI-28,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-28.jpeg,data\yolo\images\val\20161226-SPI-AOI-28.jpeg,data\yolo\labels\val\20161226-SPI-AOI-28.txt,2
val,20161226-SPI-AOI-30,20161226-SPI-AOI-30,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-30.jpeg,data\yolo\images\val\20161226-SPI-AOI-30.jpeg,data\yolo\labels\val\20161226-SPI-AOI-30.txt,1
val,20161226-SPI-AOI-33,20161226-SPI-AOI-33,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-33.jpeg,data\yolo\images\val\20161226-SPI-AOI-33.jpeg,data\yolo\labels\val\20161226-SPI-AOI-33.txt,3
val,20161226-SPI-AOI-36,20161226-SPI-AOI-36,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-36.jpeg,data\yolo\images\val\20161226-SPI-AOI-36.jpeg,data\yolo\labels\val\20161226-SPI-AOI-36.txt,8
val,20161226-SPI-AOI-6,20161226-SPI-AOI-6,train_data,data\raw\train_data\JPEGImages\20161226-SPI-AOI-6.jpeg,data\yolo\images\val\20161226-SPI-AOI-6.jpeg,data\yolo\labels\val\20161226-SPI-AOI-6.txt,11
val,20161227-SPI-AOI-6,20161227-SPI-AOI-6,train_data,data\raw\train_data\JPEGImages\20161227-SPI-AOI-6.jpeg,data\yolo\images\val\20161227-SPI-AOI-6.jpeg,data\yolo\labels\val\20161227-SPI-AOI-6.txt,7
val,20170103-SPI-AOI-2,20170103-SPI-AOI-2,train_data,data\raw\train_data\JPEGImages\20170103-SPI-AOI-2.jpeg,data\yolo\images\val\20170103-SPI-AOI-2.jpeg,data\yolo\labels\val\20170103-SPI-AOI-2.txt,10
val,20170105-SPI-AOI-1,20170105-SPI-AOI-1,train_data,data\raw\train_data\JPEGImages\20170105-SPI-AOI-1.jpeg,data\yolo\images\val\20170105-SPI-AOI-1.jpeg,data\yolo\labels\val\20170105-SPI-AOI-1.txt,8
val,20170112-SPI-AOI-1,20170112-SPI-AOI-1,train_data,data\raw\train_data\JPEGImages\20170112-SPI-AOI-1.jpeg,data\yolo\images\val\20170112-SPI-AOI-1.jpeg,data\yolo\labels\val\20170112-SPI-AOI-1.txt,2
val,20170113-SPI-AOI-1,20170113-SPI-AOI-1,train_data,data\raw\train_data\JPEGImages\20170113-SPI-AOI-1.jpeg,data\yolo\images\val\20170113-SPI-AOI-1.jpeg,data\yolo\labels\val\20170113-SPI-AOI-1.txt,2
val,20170217-SPI-AOI-1,20170217-SPI-AOI-1,train_data,data\raw\train_data\JPEGImages\20170217-SPI-AOI-1.jpeg,data\yolo\images\val\20170217-SPI-AOI-1.jpeg,data\yolo\labels\val\20170217-SPI-AOI-1.txt,1
val,20170310-SPI-AOI-2,20170310-SPI-AOI-2,train_data,data\raw\train_data\JPEGImages\20170310-SPI-AOI-2.jpeg,data\yolo\images\val\20170310-SPI-AOI-2.jpeg,data\yolo\labels\val\20170310-SPI-AOI-2.txt,1
train,20161020-SPI-AOI-5,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5.jpeg,data\yolo\images\train\20161020-SPI-AOI-5.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5.txt,2
train,20161020-SPI-AOI-5_180,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5_180.jpeg,data\yolo\images\train\20161020-SPI-AOI-5_180.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5_180.txt,2
train,20161020-SPI-AOI-5_270,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5_270.jpeg,data\yolo\images\train\20161020-SPI-AOI-5_270.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5_270.txt,2
train,20161020-SPI-AOI-5_90,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5_90.jpeg,data\yolo\images\train\20161020-SPI-AOI-5_90.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5_90.txt,2
train,20161020-SPI-AOI-5_shuiping,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5_shuiping.jpeg,data\yolo\images\train\20161020-SPI-AOI-5_shuiping.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5_shuiping.txt,2
train,20161020-SPI-AOI-5_shuzhi,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5_shuzhi.jpeg,data\yolo\images\train\20161020-SPI-AOI-5_shuzhi.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5_shuzhi.txt,2
train,20161020-SPI-AOI-5_suofang,20161020-SPI-AOI-5,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161020-SPI-AOI-5_suofang.jpeg,data\yolo\images\train\20161020-SPI-AOI-5_suofang.jpeg,data\yolo\labels\train\20161020-SPI-AOI-5_suofang.txt,2
train,20161021-SPI-AOI-14,20161021-SPI-AOI-14,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161021-SPI-AOI-14.jpeg,data\yolo\images\train\20161021-SPI-AOI-14.jpeg,data\yolo\labels\train\20161021-SPI-AOI-14.txt,3
train,20161021-SPI-AOI-14_180,20161021-SPI-AOI-14,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161021-SPI-AOI-14_180.jpeg,data\yolo\images\train\20161021-SPI-AOI-14_180.jpeg,data\yolo\labels\train\20161021-SPI-AOI-14_180.txt,3
train,20161021-SPI-AOI-14_270,20161021-SPI-AOI-14,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161021-SPI-AOI-14_270.jpeg,data\yolo\images\train\20161021-SPI-AOI-14_270.jpeg,data\yolo\labels\train\20161021-SPI-AOI-14_270.txt,3
train,20161021-SPI-AOI-14_90,20161021-SPI-AOI-14,train_data_augmentation,data\raw\train_data_augmentation\JPEGImages\20161021-SPI-AOI-14_90.jpeg,data\yolo\images\train\20161021-SPI-AOI-14_90.jpeg,data\yolo\labels\train\20161021-SPI-AOI-14_90.txt,3
